ticker,pilot_role,daily_present,split_rows,dividend_rows,expected_semantic_signal,notes
SGC,reverse_split_plus_dividends,True,1,70,"split factor and dividend factor both active","good mixed case with real reverse split and long dividend history"
AAIC,reverse_split_plus_dividends,True,1,40,"split factor and dividend factor both active","clean reverse split plus regular dividends"
ABEO,reverse_split_only,True,1,0,"split factor active, dividend factor neutral","pure reverse split case"
SELF,dividends_only,True,0,59,"split factor neutral, dividend factor active","strong dividend-only case"
BBW,dividends_only,True,0,11,"split factor neutral, dividend factor active","lighter dividend-only case"
ABIO,multi_reverse_split_plus_special_dividend,True,5,1,"multiple split events and one non-trivial dividend event","stress case for chaining logic"
ABVC,mixed_forward_reverse_split_plus_dividends,True,6,57,"non-trivial split chain and dividend chain","hard mixed case with unusual split ratios"
AAME,dividends_only_controlled,True,0,16,"split factor neutral, dividend factor active","simple regular dividend profile"
ABTX,dividends_only_controlled,True,0,11,"split factor neutral, dividend factor active","another regular dividend profile"
A,no_events_control,True,0,0,"both factors remain neutral","control case to verify no spurious adjustments"
