ticker,event_date,event_year,event_month,split_from,split_to,split_ratio,months_loaded,rows_total,rows_pre,rows_post,pre_fail_rows,post_fail_rows,max_abs_multiplier_error,status,split_direction,ratio_distance,visual_rank,visual_family,image
PPCB,2025-01-29,2025,1,60000.0,1.0,1.6666666666666667e-05,"2024-12,2025-01,2025-02",495,491,4,0,0,0.0,PASS,reverse_split,11.002099841204238,1,pass_reverse_split,images/01_pass_reverse_split_PPCB_2025-01-29.png
PMD,2024-12-04,2024,12,5000.0,1.0,0.0002,"2024-11,2024-12",989,481,508,0,0,0.0,PASS,reverse_split,8.517193191416238,2,pass_reverse_split,images/02_pass_reverse_split_PMD_2024-12-04.png
STCN,2023-06-22,2023,6,3500.0,1.0,0.00028571428571428574,"2023-05,2023-06,2023-07",3268,2109,1159,0,0,0.0,PASS,reverse_split,8.160518247477505,3,pass_reverse_split,images/03_pass_reverse_split_STCN_2023-06-22.png
TTSH,2025-12-16,2025,12,3000.0,1.0,0.0003333333333333333,"2025-11,2025-12,2026-01",8466,4247,4219,0,0,0.0,PASS,reverse_split,8.006367567650246,4,pass_reverse_split,images/04_pass_reverse_split_TTSH_2025-12-16.png
RELV,2020-12-21,2020,12,2000.0,1.0,0.0005,"2020-11,2020-12",774,720,54,0,0,0.0,PASS,reverse_split,7.600902459542082,5,pass_reverse_split,images/05_pass_reverse_split_RELV_2020-12-21.png
PPCB,2023-05-23,2023,5,1000.0,1.0,0.001,"2023-04,2023-05,2023-06",1606,1219,387,0,0,0.0,PASS,reverse_split,6.907755278982137,6,pass_reverse_split,images/06_pass_reverse_split_PPCB_2023-05-23.png
GNLN,2025-06-27,2025,6,750.0,1.0,0.0013333333333333333,"2025-05,2025-06,2025-07",41227,35021,6206,0,0,0.0,PASS,reverse_split,6.620073206530356,7,pass_reverse_split,images/07_pass_reverse_split_GNLN_2025-06-27.png
ATLX,2022-12-23,2022,12,750.0,1.0,0.0013333333333333333,"2022-11,2022-12,2023-01",6644,4136,2508,0,0,0.0,PASS,reverse_split,6.620073206530356,8,pass_reverse_split,images/08_pass_reverse_split_ATLX_2022-12-23.png
PMD,2024-12-04,2024,12,1.0,5000.0,5000.0,"2024-11,2024-12",989,481,508,0,0,0.0,PASS,forward_split,8.517193191416238,9,pass_forward_split,images/09_pass_forward_split_PMD_2024-12-04.png
TTSH,2025-12-16,2025,12,1.0,3000.0,3000.0,"2025-11,2025-12,2026-01",8466,4247,4219,0,0,0.0,PASS,forward_split,8.006367567650246,10,pass_forward_split,images/10_pass_forward_split_TTSH_2025-12-16.png
RELV,2020-12-21,2020,12,1.0,2000.0,2000.0,"2020-11,2020-12",774,720,54,0,0,0.0,PASS,forward_split,7.600902459542082,11,pass_forward_split,images/11_pass_forward_split_RELV_2020-12-21.png
STCN,2023-06-22,2023,6,1.0,375.0,375.0,"2023-05,2023-06,2023-07",3268,2109,1159,0,0,0.0,PASS,forward_split,5.926926025970411,12,pass_forward_split,images/12_pass_forward_split_STCN_2023-06-22.png
SFE,2024-01-16,2024,1,1.0,100.0,100.0,"2023-12,2024-01,2024-02",2007,1302,705,0,0,0.0,PASS,forward_split,4.605170185988092,13,pass_forward_split,images/13_pass_forward_split_SFE_2024-01-16.png
BHRB,2022-11-15,2022,11,1.0,40.0,40.0,"2022-10,2022-11,2022-12",221,80,141,0,0,0.0,PASS,forward_split,3.6888794541139363,14,pass_forward_split,images/14_pass_forward_split_BHRB_2022-11-15.png
HUBC,2023-03-01,2023,3,1.0,0.712434,0.712434,"2023-03,2023-04",27418,0,27418,0,0,0.0,NO_PRE_COVERAGE,reverse_split,,15,coverage_no_pre,images/15_coverage_no_pre_HUBC_2023-03-01.png
MMAT,2021-06-23,2021,6,1.0,2.0,2.0,"2021-06,2021-07",18302,0,18302,0,0,0.0,NO_PRE_COVERAGE,forward_split,,16,coverage_no_pre,images/16_coverage_no_pre_MMAT_2021-06-23.png
COMS,2021-01-22,2021,1,3.0,1.0,0.3333333333333333,"2021-01,2021-02",13024,0,13024,0,0,0.0,NO_PRE_COVERAGE,reverse_split,,17,coverage_no_pre,images/17_coverage_no_pre_COMS_2021-01-22.png
NX,2005-01-03,2005,1,100.0,150.0,1.5,"2005-01,2005-02",11969,0,11969,0,0,0.0,NO_PRE_COVERAGE,forward_split,,18,coverage_no_pre,images/18_coverage_no_pre_NX_2005-01-03.png
TRCH,2021-06-28,2021,6,2.0,1.0,0.5,"2021-05,2021-06",25359,25359,0,0,0,0.0,NO_POST_COVERAGE,reverse_split,,19,coverage_no_post,images/19_coverage_no_post_TRCH_2021-06-28.png
RTTR,2020-05-26,2020,5,25.0,1.0,0.04,"2020-04,2020-05",19948,19948,0,0,0,0.0,NO_POST_COVERAGE,reverse_split,,20,coverage_no_post,images/20_coverage_no_post_RTTR_2020-05-26.png
MSTX,2026-03-19,2026,3,10.0,1.0,0.1,"2026-02,2026-03",19808,19808,0,0,0,0.0,NO_POST_COVERAGE,reverse_split,,21,coverage_no_post,images/21_coverage_no_post_MSTX_2026-03-19.png
HSGX,2019-09-30,2019,9,60.0,1.0,0.016666666666666666,"2019-08,2019-09",18495,18495,0,0,0,0.0,NO_POST_COVERAGE,reverse_split,,22,coverage_no_post,images/22_coverage_no_post_HSGX_2019-09-30.png
AAIC,2009-10-07,2009,10,20.0,1.0,0.05,,0,0,0,0,0,,NO_1M_COVERAGE,reverse_split,,23,coverage_no_1m,images/23_coverage_no_1m_AAIC_2009-10-07.png
AARD,2008-07-21,2008,7,2.0,1.0,0.5,,0,0,0,0,0,,NO_1M_COVERAGE,reverse_split,,24,coverage_no_1m,images/24_coverage_no_1m_AARD_2008-07-21.png
ABAT,2004-07-13,2004,7,10.0,1.0,0.1,,0,0,0,0,0,,NO_1M_COVERAGE,reverse_split,,25,coverage_no_1m,images/25_coverage_no_1m_ABAT_2004-07-13.png
ABIO,2004-02-23,2004,2,3.0,1.0,0.3333333333333333,,0,0,0,0,0,,NO_1M_COVERAGE,reverse_split,,26,coverage_no_1m,images/26_coverage_no_1m_ABIO_2004-02-23.png
ABTS,2019-04-22,2019,4,5.0,1.0,0.2,,0,0,0,0,0,,NO_1M_COVERAGE,reverse_split,,27,coverage_no_1m,images/27_coverage_no_1m_ABTS_2019-04-22.png
ABVC,2005-06-09,2005,6,1.0,1.2,1.2,,0,0,0,0,0,,NO_1M_COVERAGE,forward_split,,28,coverage_no_1m,images/28_coverage_no_1m_ABVC_2005-06-09.png
