date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2019-09-24,31.6,31.6,31.6,31.6,32.4576,411.0,28,0.8575999999999979,,False,False
2019-04-18,31.6,31.6,31.6,31.6,32.342,293.0,10,0.7419999999999973,,False,False
2019-01-23,33.41,33.41,33.41,33.41,32.8852,411.0,24,0.524799999999999,,False,False
2019-02-20,30.52,30.52,30.52,30.52,31.0395,1229.0,51,0.5195000000000007,,False,False
2019-04-15,32.5,32.5,32.5,32.5,32.9787,471.0,12,0.47870000000000346,,False,False
2019-09-18,31.5,31.5,31.5,31.5,31.938,606.0,33,0.43799999999999883,,False,False
2019-04-23,32.5,32.5,32.5,32.5,32.918,463.0,15,0.41799999999999926,,False,False
2019-11-29,34.23,34.44,34.23,34.44,33.847,486.0,12,0.38299999999999557,182.38095238094954,False,False
2019-02-14,32.62,32.62,32.62,32.62,32.9928,663.0,17,0.3728000000000051,,False,False
2019-12-03,35.41,35.41,35.41,35.41,35.1035,746.0,22,0.3064999999999998,,False,False
2019-11-05,32.0,32.0,32.0,32.0,32.3064,861.0,47,0.30639999999999645,,False,False
2019-09-30,31.05,31.05,31.05,31.05,31.3418,426.0,14,0.2917999999999985,,False,False
2019-07-16,26.11,26.11,26.11,26.11,26.3755,952.0,65,0.2654999999999994,,False,False
2019-01-22,33.14,33.14,33.14,33.14,33.3942,456.0,14,0.2541999999999973,,False,False
2019-05-06,32.05,32.05,32.0,32.0,32.2889,2304.0,85,0.238900000000001,477.8000000000292,False,False
2019-12-12,37.0,37.0,37.0,37.0,36.768,357.0,16,0.23199999999999932,,False,False
2019-04-24,31.52,31.52,31.52,31.52,31.7179,455.0,7,0.19790000000000063,,False,False
2019-04-22,32.5,32.5,32.5,32.5,32.695,549.0,19,0.19500000000000028,,False,False
2019-07-17,26.0,26.0,26.0,26.0,26.1828,272.0,19,0.1828000000000003,,False,False
2019-10-03,30.5,30.6417,30.5,30.6417,30.8216,695.0,18,0.17989999999999995,126.95836273817908,False,False
2019-04-17,32.17,32.17,32.13,32.13,32.3488,875.0,42,0.1787999999999954,446.99999999999807,False,False
2019-01-08,32.01,32.01,32.01,32.01,31.8364,476.0,14,0.17359999999999687,,False,False
2019-11-15,31.3,31.3346,31.26,31.26,31.489,869.0,21,0.15440000000000254,206.97050938339066,False,False
2019-05-08,31.55,31.55,31.55,31.55,31.6953,332.0,9,0.14529999999999887,,False,False
2019-02-12,33.63,33.63,33.63,33.63,33.4937,350.0,15,0.13630000000000564,,False,False
2019-02-05,33.2501,33.2501,33.2501,33.2501,33.3817,405.0,22,0.13159999999999883,,False,False
2019-10-31,31.375,31.54,31.375,31.54,31.6564,741.0,16,0.11640000000000228,70.5454545454563,False,False
2019-11-07,31.5,31.5,31.5,31.5,31.6105,465.0,18,0.11049999999999827,,False,False
2019-09-23,32.015,32.43,32.015,32.43,31.9099,1155.0,40,0.1051000000000002,25.325301204819375,False,False
2019-07-02,25.89,25.905,25.89,25.905,26.0062,1334.0,46,0.10119999999999862,674.666666666632,False,False
2019-12-13,36.95,36.95,36.95,36.95,36.8742,1081.0,75,0.07580000000000098,,False,False
2019-08-23,26.9,26.9,26.9,26.9,26.8278,376.0,22,0.07219999999999871,,False,False
2019-05-23,27.8,27.8,27.8,27.8,27.855,359.0,14,0.054999999999999716,,False,False
2019-10-30,31.75,31.75,31.75,31.75,31.6956,333.0,21,0.054400000000001114,,False,False
2019-02-04,33.25,33.25,33.25,33.25,33.3033,380.0,18,0.053300000000000125,,False,False
2019-10-25,30.5,30.5,30.5,30.5,30.4522,876.0,20,0.04779999999999873,,False,False
2019-01-31,33.55,33.55,33.55,33.55,33.5078,647.0,17,0.04219999999999402,,False,False
2019-07-18,26.52,26.52,26.48,26.48,26.5542,868.0,43,0.03420000000000201,85.50000000000684,False,False
2019-04-29,31.8,31.86,31.8,31.86,31.8936,423.0,10,0.03359999999999985,56.000000000000945,False,False
2019-09-12,32.0,32.0,32.0,32.0,32.0306,632.0,22,0.03059999999999974,,False,False
2019-03-19,34.65,35.1,34.65,34.775,34.6216,1156.0,29,0.02839999999999776,6.3111111111105735,False,False
2019-04-03,31.91,31.91,31.6575,31.8,31.9369,1000.0,28,0.026900000000001256,10.653465346535096,False,False
2019-07-03,26.36,26.37,26.36,26.36,26.341,489.0,14,0.01899999999999835,189.99999999995381,False,False
2019-09-06,30.33,30.34,30.33,30.34,30.3113,1312.0,26,0.01869999999999905,186.9999999999613,False,False
2019-11-14,32.0,32.0,32.0,32.0,32.0095,870.0,23,0.009500000000002728,,False,False
2019-08-16,24.32,24.32,24.32,24.32,24.3259,388.0,16,0.00590000000000046,,False,False
2019-12-11,39.07,39.07,37.1,37.1,37.0989,2468.0,92,0.001100000000000989,0.05583756345182689,False,False
2019-04-12,32.5,32.5,32.5,32.5,32.5004,356.0,8,0.00039999999999906777,,False,False
