family,bucket,count,secondary
source_quality,nasdaq,119630,119619
source_quality,nyse,13178,13172
source_quality,sec,1346,250
canonical_event_taxonomy,good_full_intraday_event,129638,131524
canonical_event_taxonomy,good_date_level_event,1272,1273
canonical_event_taxonomy,review_partial_identity,1096,1096
canonical_event_taxonomy,regulatory_context_only,250,250
canonical_event_taxonomy,bad_unusable_event,1,11
lt1b_event_taxonomy,good_full_intraday_event,53720,3900
lt1b_event_taxonomy,good_date_level_event,186,152
lt1b_event_taxonomy,regulatory_context_only,3,3
visual_case_bucket,confirmed_halt_microstructure_coherent,18591,
visual_case_bucket,halt_with_trades_signal_only,3914,
visual_case_bucket,halt_with_quotes_signal_only,1896,
visual_case_bucket,halt_present_but_market_clean,516,
visual_case_bucket,market_signal_without_clear_halt_window,384,
