source_file,source_kind,reference_hits,unique_targets
CHANGELOG.md,.md,56,50
01_foundations/module_contracts/layer_maturity_assessment_v0_1.md,.md,13,13
01_foundations/contract_registry/dataset_contracts/daily_dataset_contract_v0_1.md,.md,10,7
AGENTS.md,.md,9,9
README.md,.md,8,8
01_foundations/contract_registry/dataset_contracts/trades_dataset_contract_v0_1.md,.md,7,7
01_foundations/contract_registry/dataset_contracts/quotes_dataset_contract_v0_1.md,.md,7,4
01_foundations/inspection_dossiers/1m_split_normalized/ohlcv_1m_split_normalized_final_readout_v0_1.md,.md,6,6
LOCAL_RULES.md,.md,6,6
01_foundations/contract_registry/dataset_contracts/quotes_label_taxonomy_and_cut_policy.md,.md,6,5
01_foundations/inspection_dossiers/quotes/build_quotes_inspection_pack.md,.md,5,5
01_foundations/module_contracts/inspection_dossier_model.md,.md,5,5
01_foundations/data_consumption_policies/daily_consumption_policy.md,.md,4,4
01_foundations/data_consumption_policies/quotes_consumption_policy.md,.md,4,4
01_foundations/module_contracts/price_view_integration_priority_plan_v0_1.md,.md,4,4
01_foundations/data_consumption_policies/trades_consumption_policy.md,.md,3,3
01_foundations/dataset_registry/features/intraday_regime_features_registry_entry.yaml,.yaml,3,3
01_foundations/module_contracts/external_price_comparison_caveats.md,.md,3,2
01_foundations/contract_registry/dataset_contracts/trades_label_taxonomy_and_cut_policy.md,.md,2,2
01_foundations/dataset_registry/ohlcv_1m/ohlcv_1m_split_normalized_registry_entry.yaml,.yaml,2,2
01_foundations/dataset_registry/daily/daily_return_labels_registry_entry.yaml,.yaml,2,2
01_foundations/inspection_dossiers/daily/daily_inspection_readout_v0_1.md,.md,2,2
01_foundations/module_contracts/pipeline_price_view_policy_explained.md,.md,2,2
01_foundations/module_contracts/trades_acceptance_policy_explained.md,.md,2,2
01_foundations/contract_registry/dataset_contracts/daily_label_taxonomy_and_cut_policy.md,.md,1,1
01_foundations/dataset_registry/daily/daily_adjusted_registry_entry.yaml,.yaml,1,1
01_foundations/dataset_registry/quotes/quotes_registry_entry.yaml,.yaml,1,1
01_foundations/module_contracts/daily_acceptance_policy_explained.md,.md,1,1
01_foundations/module_contracts/daily_rules_explained_line_by_line.md,.md,1,1
01_foundations/module_contracts/external_price_comparison_rules_line_by_line.md,.md,1,1
01_foundations/module_contracts/intraday_regime_features_consumer_contract_v0_1.md,.md,1,1
01_foundations/module_contracts/layer_validation_standard_v0_1.md,.md,1,1
01_foundations/module_contracts/ohlcv_1m_split_normalized_operational_landing_v0_1.md,.md,1,1
01_foundations/module_contracts/ohlcv_1m_split_normalized_semantic_pilot_v0_1.md,.md,1,1
01_foundations/module_contracts/pipeline_price_view_rules_line_by_line.md,.md,1,1
01_foundations/module_contracts/price_semantics_rules_line_by_line.md,.md,1,1
01_foundations/module_contracts/quotes_acceptance_policy_explained.md,.md,1,1
01_foundations/module_contracts/quotes_rules_explained_line_by_line.md,.md,1,1
01_foundations/module_contracts/trades_rules_explained_line_by_line.md,.md,1,1
01_foundations/validators/daily/daily_validators.md,.md,1,1
01_foundations/validators/quotes/quotes_validators.md,.md,1,1
