Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid,
19:09:28,AAPL,B,144.25,2,SMAT,,TRP260509,Margin,AUTO,
19:09:10,AAPL,SS,144.2,2,SMAT,,TRP260509,Short,AUTO,
19:08:51,BROS,S,33.8,2,SMAT,,TRP260509,Margin,AUTO,
19:08:30,BROS,B,34.3,2,SMAT,,TRP260509,Margin,AUTO,
18:50:15,#MESZ2,S,3763,1,CME,,TRP260509,Margin,AUTO,
18:48:02,#MESZ2,B,3763.5,1,CME,,TRP260509,Margin,AUTO,
18:43:12,#ESZ2,S,3765,1,CBOT,,TRP260509,Margin,AUTO,
18:41:11,#ESZ2,B,3763.75,1,CBOT,,TRP260509,Margin,AUTO,
12:55:43,AMZN221104C93,S Close,2.95,2,CBO,,TRP260509,Margin,AUTO,
12:49:57,AAPL221104C90,S Close,58.8,1,CBO,,TRP260509,Margin,AUTO,
10:42:35,AMZN221104C93,B Open,3.95,1,CBO,,TRP260509,Margin,AUTO,
10:42:35,AMZN221104C93,B Open,3.95,1,CBO,,TRP260509,Margin,AUTO,
09:59:49,AAPL221104C90,B Open,58.95,1,CBO,,TRP260509,Margin,AUTO,
